id,name,age,city,province,active,class,last_exam_score,attendance_count,batch
35,Rahayu,27,Depok,Jawa Barat,1,morning,60,5,1
36,Yunita,55,Tarakan,Kalimantan Utara,1,morning,89,7,1
37,Rina,54,Samarinda,Kalimantan Timur,1,afternoon,84,6,1
38,Ade,51,Palangkaraya,Kalimantan Tengah,0,afternoon,74,5,1
39,Widya,22,Bandung,Jawa Barat,1,afternoon,66,5,1
40,Intan,34,Salatiga,Jawa Tengah,0,afternoon,98,8,1
41,Diah,30,Banjar,Jawa Barat,1,afternoon,85,6,1
42,Agustina,26,Cirebon,Jawa Barat,1,morning,59,5,1
43,Made,31,Magelang,Jawa Tengah,0,afternoon,65,4,1
44,Abdul,25,Cimahi,Jawa Barat,1,afternoon,81,6,1
45,Setiawan,48,Singkawang,Kalimantan Barat,0,morning,55,5,1
46,Rizky,42,Malang,Jawa Timur,1,morning,74,5,1
47,Rini,46,Surabaya,Jawa Timur,0,afternoon,72,6,1
48,Wahyuni,46,Surabaya,Jawa Timur,1,morning,63,7,1
49,Yulia,53,Bontang,Kalimantan Timur,1,morning,68,5,1
50,Puji,27,Depok,Jawa Barat,1,morning,75,4,1
51,Utami,40,Kediri,Jawa Timur,1,afternoon,74,5,1
50,Puji,27,Depok,Jawa Barat,1,morning,75,4,1
51,Utami,40,Kediri,Jawa Timur,1,afternoon,74,5,1
52,Amalia,56,Batam,Kepulauan Riau,1,afternoon,63,4,1
53,Dina,24,Bogor,Jawa Barat,1,morning,59,6,1
54,Devi,37,Tegal,Jawa Tengah,1,afternoon,60,3,1
55,Citra,36,Surakarta,Jawa Tengah,1,morning,69,5,1
56,Arief,41,Madiun,Jawa Timur,1,afternoon,60,4,1
57,Munaroh,15,Kota Administrasi Jakarta Barat,Jakarta,0,afternoon,91,6,1
58,Bagus,16,Kota Administrasi Jakarta Pusat,Jakarta,1,morning,44,3,1
59,Hidayat,17,Kota Administrasi Jakarta Selatan,Jakarta,0,morning,100,7,1
60,Hendra,58,Bandar Lampung,Lampung,1,morning,75,6,1
61,Eva,,Malang,Jawa Timur,0,afternoon,80,6,1
62,Endah,53,Bontang,Kalimantan Timur,1,afternoon,58,4,1
63,Raden,17,Kota Administrasi Jakarta Selatan,Jakarta,1,afternoon,87,6,1
64,Novi,37,Tegal,Jawa Tengah,1,afternoon,65,4,1
65,Irma,34,Salatiga,Jawa Tengah,0,,,3,1
66,Astuti,52,Balikpapan,Kalimantan Timur,0,morning,77,6,1
66,Astuti,52,Balikpapan,Kalimantan Timur,0,morning,77,6,1
67,Achmad,44,Pasuruan,Jawa Timur,1,afternoon,53,5,1
68,Aulia,53,Bontang,Kalimantan Timur,1,afternoon,50,4,1
69,Amelia,59,Metro,Lampung,1,morning,67,5,1
70,Prima,16,Kota Administrasi Jakarta Pusat,Jakarta,1,morning,55,4,1
71,Angga,52,Balikpapan,Kalimantan Timur,1,afternoon,71,7,1
72,Hadi,29,Tasikmalaya,Jawa Barat,1,morning,67,5,1
73,Diana,18,Kota Administrasi Jakarta Timur,Jakarta,0,morning,47,2,1
74,Anggraini,43,Mojokerto,Jawa Timur,0,afternoon,54,3,1
75,Wulan,19,Kota Administrasi Jakarta Utara,Jakarta,1,afternoon,73,6,1
76,Saputra,37,Tegal,Jawa Tengah,1,morning,67,7,1
77,Yuni,16,Kota Administrasi Jakarta Pusat,Jakarta,0,afternoon,87,7,1
78,Puspita,57,Tanjungpinang,Kepulauan Riau,1,afternoon,66,6,1
79,Sari,26,Cirebon,Jawa Barat,0,afternoon,86,6,1
80,Wisnu,33,Purwokerto,,1,afternoon,,5,1
81,Mamat,32,Pekalongan,Jawa Tengah,0,afternoon,65,4,1
82,Gogon,27,Depok,Jawa Barat,1,morning,76,5,1
83,Budi,56,Batam,Kepulauan Riau,1,afternoon,65,3,1
84,Vicky,27,Depok,Jawa Barat,0,afternoon,81,5,1
85,Firman,59,Metro,Lampung,1,morning,53,4,1
86,Hafizh,58,Bandar Lampung,Lampung,1,afternoon,82,6,1
87,Saripah,38,Batu,Jawa Timur,1,afternoon,76,5,1
88,Tuti,46,Surabaya,Jawa Timur,1,morning,51,4,1
89,Komar,49,Banjarbaru,Kalimantan Selatan,1,morning,75,3,1
90,Deden,20,Sungai Penuh,Jambi,1,morning,51,4,1
91,Dadan,19,Kota Administrasi Jakarta Utara,Jakarta,1,afternoon,63,4,1
92,Didin,49,Banjarbaru,,1,afternoon,61,4,1
93,Dudung,39,Blitar,Jawa Timur,1,afternoon,53,4,1
94,Een,15,Kota Administrasi Jakarta Barat,Jakarta,1,afternoon,74,5,1
95,Endang,25,Cimahi,Jawa Barat,0,afternoon,65,6,1
96,Yunus,50,Banjarmasin,Kalimantan Selatan,0,morning,66,6,1
97,Puji,34,Salatiga,Jawa Tengah,1,afternoon,64,5,1
96,Yunus,50,Banjarmasin,Kalimantan Selatan,0,morning,66,6,1
97,Puji,34,Salatiga,Jawa Tengah,1,afternoon,64,5,1
98,Puput,24,Bogor,Jawa Barat,1,afternoon,67,4,1
99,Lukman,49,Banjarbaru,Kalimantan Selatan,0,morning,55,5,1
100,Kokom,23,Bekasi,Jawa Barat,0,morning,73,5,1
